Rank,Author,Score,Students
776,"Jean  Gabszewicz Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",813.91,2
777,"Hilde C. Bjornland Institutt for samfunnsøkonomi, BI Handelshøyskolen, Oslo, Norway",817.78,3
778,"Nezih  Guner Centro de Estudios Monetarios y Financieros (CEMFI), Madrid, Spain",817.81,4
779,"Patrick  Guillaumont Centre d'Études et de Recherches sur le Développement International (CERDI), École d'Économie, Université Clermont Auvergne, Clermont-Ferrand, FranceFondation pour les études et recherches sur le développment international (FERDI), Clermont-Ferrand, France",818.4,1
780,"Aloisio  Araujo EPGE Escola Brasileira de Economia e Finanças, Fundação Getúlio Vargas (FGV), Rio de Janeiro, Brazil",823.11,3.5
781,"Laurence J. Kotlikoff Department of Economics, Boston University, Boston, Massachusetts (USA)",824.85,3
782,"Randall G. Holcombe Department of Economics, Florida State University, Tallahassee, Florida (USA)",825.4,2
783,"Frank  Lichtenberg Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",825.87,0.5
784,"Gavin  Wright Department of Economics, Stanford University, Stanford, California (USA)",826.03,1.5
785,"Mark  Stewart Department of Economics, University of Warwick, Coventry, United Kingdom",827.08,3
786,"Barry T. Hirsch Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",827.64,2
787,"George  Milunovich Department of Economics, Faculty of Business and Economics, Macquarie University, Sydney, Australia",829.36,0.5
788,"Sevi  Rodriguez Mora School of Economics, University of Edinburgh, Edinburgh, United Kingdom",829.47,2
789,"Pedro  Portugal Banco de Portugal, Lisboa, Portugal",831.77,5.5
790,"Robin W. Boadway Economics Department, Queen's University, Kingston, Canada",832.07,3.5
791,"Kenneth  Mcconnell Department of Agricultural and Resource Economics, University of Maryland, College Park, Maryland (USA)",832.46,2
792,"Volker  Wieland Fachbereich Wirtschaftswissenschaft, Goethe Universität Frankfurt am Main, Frankfurt am Main, Germany",833.96,1.5
793,"Allan W. Gregory Economics Department, Queen's University, Kingston, Canada",834.76,2.5
794,"Hubert  Kempf Département de sciences sociales, École Normale Supérieure Paris-Saclay (ENS), Cachan, France",834.99,8
795,"Andrew Thomas Newell Institute of Labor Economics (IZA), Bonn, GermanyDepartment of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",835.67,4.5
796,"Maria Paz  Espinosa Departamento de Fundamentos del Análisis Económico II, Facultad de Economía y Empresa, Universidad del País Vasco - Euskal Herriko Unibertsitatea, Bilbao, Spain",837.62,4
797,"Giovanni  Dosi Laboratory of Economics and Management (LEM), Scuola Superiore Sant'Anna, Pisa, Italy",838.04,3
798,"Maxwell Leslie King Department of Econometrics and Business Statistics, Monash Business School, Monash University, Melbourne, Australia",838.11,1
799,"Gregory M. Duncan Department of Economics, University of Washington, Seattle, Washington (USA)",840.3,3
800,"Simon  Wren-Lewis Department of Economics, Oxford University, Oxford, United Kingdom",844.53,2
801,David F. Bradford †,844.59,1.5
802,"Sergio  Destefanis Centro di Economia del Lavoro e di Politica Economica (CELPE), Università degli Studi di Salerno, Fisciano, ItalyDipartimento di Scienze Economiche e Statistiche (DISES), Università degli Studi di Salerno, Fisciano, Italy",845.37,8
803,"Xiaodong  Zhu Department of Economics, University of Toronto, Toronto, Canada",845.74,2.5
804,"Anne  Case Department of Economics, Princeton University, Princeton, New Jersey (USA)Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",846.04,0.5
805,"Jere Richard Behrman Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",847.63,2
806,"Uwe  Cantner Wirtschaftswissenschaftliche Fakultät, Friedrich-Schiller-Universität Jena, Jena, Germany",849.87,3.5
807,"Orazio  Attanasio Department of Economics, University College London (UCL), London, United Kingdom",849.99,2
808,"Elisabeth  Sadoulet Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)",850.17,2.5
809,"Richard V. Burkhauser Department of Policy Analysis and Management, College of Human Ecology, Cornell University, Ithaca, New York (USA)",851.73,6
810,"V. Kerry Smith Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",851.89,1
811,"Evi Paraskevi Pappa Centre for Economic Policy Research (CEPR), London, United Kingdom",853.29,3.5
812,James A. Chalfant,854.34,1
813,"Ton Van Schaik Departement Algemene Economie, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",855.5,1
814,"Michael  Binder Department of Economics, University of Maryland, College Park, Maryland (USA)",856.15,3.5
815,"Reinhilde  Veugelers Onderzoekseenheid Bedrijfseconomie, Strategie en Innovatie, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",856.93,2.5
816,"Marianne Elizabeth Page Economics Department, University of California-Davis, Davis, California (USA)",858.69,2.5
817,"Daniel  Hamermesh Institute of Labor Economics (IZA), Bonn, Germany",859.58,2.5
818,"Magnus  Blomstrom The European Institute of Japanese Studies, Handelshögskolan i Stockholm, Stockholm, Sweden",860.06,1
819,"Philippe  Askenazy Centre pour la Recherche Économique et ses Applications (CEPREMAP), Paris, France",860.42,5
820,Mardi  Dungey †,860.55,3.5
821,"Harry  Bloch School of Economics and Finance, Curtin Business School, Curtin University, Perth, AustraliaCentre for Research in Applied Economics (CRAE), Curtin Business School, Curtin University, Perth, Australia",860.9,7
822,"Allen  Head Economics Department, Queen's University, Kingston, Canada",861.23,3.5
823,"Russell  Cooper Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",863.16,2
824,"Richard  Roll Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",863.81,0.5
825,"Stephen J  Turnovsky Department of Economics, University of Washington, Seattle, Washington (USA)",864.18,5
826,"Vincenzo  Atella Dipartimento di Economia e Finanza, Facoltà di Economia, Università degli Studi di Roma ""Tor Vergata"", Roma, Italy",866.96,3
827,"Herbert G. Grubel Department of Economics, Simon Fraser University, Burnaby, CanadaFraser Institute, Vancouver, Canada",867.76,1
828,"Massimo  Marinacci Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, ItalyDipartimento di Scienze delle Decisioni, Università Commerciale Luigi Bocconi, Milano, Italy",869.32,1
829,John Enrico DiNardo †,872.65,2
830,"Johan  Swinnen International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",873.04,4
831,"Axel  Ockenfels Staatswissenschaftliches Seminar, Wirtschafts- und Sozialwissenschaftliche Fakultät, Universität zu Köln, Köln, Germany",875.77,1
832,"Patrick  Francois Vancouver School of Economics, University of British Columbia, Vancouver, Canada",879.13,5.5
833,Walter Y. Oi †,879.85,1
834,James  Durbin †,880.69,0.5
835,"Nathan  Balke Department of Economics, Southern Methodist University, Dallas, Texas (USA)",880.73,2
836,Lloyd S. Shapley †,882.49,2.5
837,"Paul William Glewwe Department of Applied Economics, College of Agricultural, Food, and Environmental Sciences, University of Minnesota-St. Paul, St. Paul, Minnesota (USA)",884.22,4.5
838,"Jacques  Mazier Centre d'Économie de l'Université Paris-Nord (CEPN), Université Paris-13, Paris, France",885.15,10
839,"Alan Anthony Leslie Powell Department of Econometrics and Business Statistics, Monash Business School, Monash University, Melbourne, AustraliaCentre of Policy Studies and Impact Project (COPS), Victoria University, Melbourne, Australia",885.79,2
840,"Alain  Monfort Centre de Recherche en Économie et Statistique (CREST), Palaiseau, France",887.18,1
841,"Glenn  MacDonald Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)",887.84,1.5
842,Moshe  Buchinsky,888.27,3
843,"Kjetil  Storesletten Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",888.83,3
844,"Fabrizio  Zilibotti Economics Department, Yale University, New Haven, Connecticut (USA)",889.13,2
845,"Axel  Dreher Alfred-Weber-Institut für Wirtschaftswissenschaften, Fakultät für Wirtschafts- und Sozialwissenschaften, Ruprecht-Karls-Universität Heidelberg, Heidelberg, Germany",890.49,7
846,"Robert  Gibbons Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",891.43,2
847,Wallace E. Huffman †,892.55,4
848,"Riccardo  Scarpa Department of Economics, Waikato Management School, University of Waikato, Hamilton, New ZealandDipartimento di Economia Aziendale, Università degli Studi di Verona, Verona, Italy",892.61,12.5
849,"Allan  Drazen Department of Economics, University of Maryland, College Park, Maryland (USA)",894.64,3
850,"Hannu  Tervo Kauppakorkeakoulu, Jyväskylän yliopisto, Jyväskylä, Finland",895.14,1
851,"Miguel A. Delgado Departamento de Economía, Universidad Carlos III de Madrid, Madrid, Spain",896.94,7
852,"Alban  Thomas Toulouse School of Economics (TSE), Toulouse, FranceDépartement ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2), Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE), Rennes, France",897.12,2.5
853,"Roberto S. Mariano Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)School of Economics, Singapore Management University, Singapore, Singapore",898.21,1.5
854,"Gordon C. Rausser Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)",898.76,3
855,"Alan M. Taylor Economics Department, University of California-Davis, Davis, California (USA)",899.24,2.5
856,"Susan Marie Dynarski National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)Gerald R. Ford School of Public Policy, University of Michigan, Ann Arbor, Michigan (USA)",900.62,2
857,"Matthias  Doepke Department of Economics, Northwestern University, Evanston, Illinois (USA)",901.77,6.5
858,"Bart Leo Wim Cockx Faculteit Economie en Bedrijfskunde, Universiteit Gent, Gent, Belgium",903.29,4
859,"Gert G. Wagner Forschungsbasierte Infrastruktureinrichtung ""Sozio-oekonomisches Panel (SOEP)"", DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",904.04,1.5
860,"Mohsen  Bahmani-Oskooee Economics Department, University of Wisconsin, Milwaukee, Wisconsin (USA)",904.1,6
861,"David  Bloom Department of Global Health and Population, Harvard T. H. Chan School of Public Health, Harvard University, Cambridge, Massachusetts (USA)",904.51,0.5
862,"Rosanne  Altshuler Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",905.66,0.5
863,"Joan  Esteban Institut d'Anàlisi Econòmica CSIC (IAE-CSIC), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",905.87,1
864,"Steffen  Huck Wissenschaftszentrum Berlin für Sozialforschung (WZB), Berlin, Germany",906.33,2
865,Martin M.G.  Fase,910.13,1
866,"Douglas Lee Miller Department of Policy Analysis and Management, College of Human Ecology, Cornell University, Ithaca, New York (USA)",911.05,6
867,"Eric R. Young Department of Economics, University of Virginia, Charlottesville, Virginia (USA)",911.26,5.5
868,"Thomas H.W. Ziesemer Vakgroep Algemene Economie, School of Business and Economics, Maastricht University, Maastricht, NetherlandsUnited Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, Netherlands",911.59,13.5
869,"Elmar G. Wolfstetter Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, GermanyInstitut für Wirtschaftstheorie I, Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, Germany",912.12,2
870,"Lars E. O. Svensson Handelshögskolan i Stockholm, Stockholm, Sweden",916.02,1.5
871,"Henry G. Overman Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",916.83,1.5
872,"Lawrence H. White Economics Department, George Mason University, Fairfax, Virginia (USA)",917.38,5.5
873,"Lucio  Sarno Judge Business School, University of Cambridge, Cambridge, United Kingdom",920.61,2.5
874,"Frank Alan Cowell Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD), London School of Economics (LSE), London, United Kingdom",921.42,2
875,"Amy  Finkelstein Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",921.65,1
876,"Jacob  Vigdor Evans School of Public Policy and Governance, University of Washington, Seattle, Washington (USA)",922.14,1
877,"Curtis R. Taylor Department of Economics, Duke University, Durham, North Carolina (USA)",922.92,5
878,"Katarina  Juselius Økonomisk Institut, Københavns Universitet, København, Denmark",924.02,1
879,"James Alan Robinson Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",925.09,2
880,"Angelo  Melino Department of Economics, University of Toronto, Toronto, Canada",925.41,4
881,"Domenico  Giannone Centre for Economic Policy Research (CEPR), London, United Kingdom",925.56,3
882,"Robert Philip Strauss H. John Heinz III School of Public Policy and Management, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",925.98,1.5
883,"Wing-Keung  Wong Department of Finance, College of Management, Asia University, Wufeng, Taiwan",926.6,1
884,"Bruno  Van der Linden Institut de Recherche Économique et Sociale (IRES), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",928.03,6
885,"Walter  Trockel Institut für Mathematische Wirtschaftsforschung, Universität Bielefeld, Bielefeld, Germany",928.78,4.5
886,Sylvain  Sorin,931.12,3.5
887,"Rosemarie Chariklia Nagel Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",932.14,5
888,"Carlos  Velasco Departamento de Economía, Universidad Carlos III de Madrid, Madrid, Spain",932.53,3
889,"Andreas  Worgotter Institut für Stochastik und Wirtschaftsmathematik, Technische Universität Wien, Wien, Austria",932.82,1
890,"Helene  Rey Department of Economics, London Business School (LBS), London, United Kingdom",935.9,4.5
891,"Ariane  Szafarz Centre Emile Bernheim, Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, BelgiumCentre for European Research in Microfinance (CERMi), Bruxelles/Brussel, Belgium",936.06,3.5
892,Carl  Chiarella †,936.92,3
893,Hirofumi  Uzawa †,939.13,0.5
894,"Charles D. Kolstad Stanford Institute for Economic Policy Research (SIEPR), Stanford University, Stanford, California (USA)",939.38,5
895,"Eric  Zivot Department of Economics, University of Washington, Seattle, Washington (USA)",939.74,5
896,"Marc J. Melitz Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",940.49,1
897,"Michael  Whinston Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",941.81,2.5
898,"Thomas F. Cooley Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",941.9,2
899,"Halvor  Mehlum Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",942.3,2.5
900,"Karl H. Schlag Institut für Volkswirtschaftslehre, Fakultät für Wirtschaftswissenschaften, Universität Wien, Wien, Austria",943.42,4
901,"Tilman Matthias Borgers Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",944.77,4.5
902,"Timo  Terasvirta Center for Research in Econometric Analysis of Time Series (CREATES), Institut for Økonomi, Aarhus Universitet, Aarhus, DenmarkCenter for Applied Statistics and Econometrics (CASE), Humboldt-Universität Berlin, Berlin, Germany",946.77,6
903,"Monika  Piazzesi Department of Economics, Stanford University, Stanford, California (USA)",947.31,2.5
904,"Marcus Hay Miller Department of Economics, University of Warwick, Coventry, United Kingdom",948.72,0.5
905,Herbert  Giersch †,951.87,2
906,"Francis  Vella Economics Department, Georgetown University, Washington, District of Columbia (USA)",952.18,1.5
907,"Marco  LiCalzi Dipartimento di Management, Università Ca' Foscari Venezia, Venezia, Italy",952.81,8.5
908,"Andreas  Ortmann School of Economics, UNSW Business School, UNSW Sydney, Sydney, Australia",954,2.5
909,"James B. Kau Terry College of Business, University of Georgia, Athens, Georgia (USA)",956.8,1
910,"Edward  Lazear Graduate School of Business, Stanford University, Stanford, California (USA)",958.16,2.5
911,"Hilary Williamson Hoynes Goldman School of Public Policy, University of California-Berkeley, Berkeley, California (USA)Department of Economics, University of California-Berkeley, Berkeley, California (USA)",959.19,3.5
912,"Denis  Cogneau Paris School of Economics, Paris, France",959.23,4
913,"James E. Rauch Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",960.8,3
914,"Norman  Gemmell Wellington School of Business and Government, Victoria University of Wellington, Wellington, New Zealand",960.89,0.5
915,"Jean-Paul  Chavas Department of Agricultural & Applied Economics, University of Wisconsin-Madison, Madison, Wisconsin (USA)",961.69,1
916,"Andrew  McLennan School of Economics, University of Queensland, Brisbane, Australia",966.78,3.5
917,"Christophe  Hurlin Laboratoire d'Économie d'Orléans (LEO), Faculté de droit, d'économie et de gestion, Université d'Orléans, Orléans, France",967.8,4
918,"Philippe  Bacchetta Départment d'économétrie et d'économie politique (DEEP), Faculté des Hautes Études Commerciales (HEC), Université de Lausanne, Lausanne, SwitzerlandSwiss Finance Institute, Genève/Zürich, Switzerland",967.93,5
919,"Henry W. Chappell Jr.Department of Economics, School of Business Administration, American University of Sharjah, Sharjah, United Arab Emirates",970.89,0.5
920,"Christian S. Gourieroux Department of Economics, University of Toronto, Toronto, Canada",973.67,1
921,Peter J. N. Sinclair †,975.24,1
922,"Vernon L. Smith Economic Science Institute (ESI), Argyros School of Business and Economics, Chapman University, Orange, California (USA)",975.8,3
923,"Diego  Restuccia Department of Economics, University of Toronto, Toronto, Canada",977.54,4
924,Raymond J.G.M. Florax †,978.41,6.5
925,"Subal C. Kumbhakar Department of Economics, State University of New York-Binghamton (SUNY), Binghamton, New York (USA)",980.1,2.5
926,"Rafal  Weron Katedra Badań Operacyjnych i Inteligencji Biznesowej, Politechnika Wrocławska, Wrocław, Poland",981.71,6.5
927,"Karl  Warneryd Department of Economics, Handelshögskolan i Stockholm, Stockholm, Sweden",982.2,4
928,"Jorg  Oechssler Alfred-Weber-Institut für Wirtschaftswissenschaften, Fakultät für Wirtschafts- und Sozialwissenschaften, Ruprecht-Karls-Universität Heidelberg, Heidelberg, Germany",983.51,3
929,"Alessandro  Lizzeri Department of Economics, New York University (NYU), New York City, New York (USA)",983.96,2.5
930,"Lee J. Alston Department of Economics, Indiana University, Bloomington, Indiana (USA)",984.72,5
931,"Klaus  Neusser Department Volkswirtschaftlehre, Universität Bern, Bern, Switzerland",985.05,4
932,"Steven  Berry Economics Department, Yale University, New Haven, Connecticut (USA)",986.77,2.5
933,"Kevin F. Hallock Department of Economics, Cornell University, Ithaca, New York (USA)",988.21,6
934,"Pierre  Cahuc Department of Economics, Sciences économiques, Sciences Po, Paris, France",988.74,3
935,"Andreas  Stephan Centre for Entrepreneurship and Spatial Economics (CEnSE), Internationella Handelshögskolan, Jönköping Universitet, Jönköping, Sweden",989.48,4
936,"Andrew  Clark Paris School of Economics, Paris, France",990.08,6.5
937,"Stergios  Skaperdas Department of Economics, University of California-Irvine, Irvine, California (USA)",992.9,6
938,"David  Scharfstein Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",996.19,1
939,"Stefano  DellaVigna Department of Economics, University of California-Berkeley, Berkeley, California (USA)",996.85,2.5
940,Stephen A. Ross †,999.3,1
941,"Fausto  Gozzi Dipartimento di Economia e Finanza (DEF), Libera Università Internazionale degli Studi Sociali Guido Carli (LUISS), Roma, Italy",999.79,4
942,"James  Morley School of Economics, Faculty of Arts and Social Sciences, University of Sydney, Sydney, Australia",1000.36,4.5
943,"Barbara L. Wolfe Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",1000.56,0.5
944,John  Mullahy,1001.65,0.5
945,Harold  Demsetz †,1004.69,1
946,"Dan  Kovenock Economic Science Institute (ESI), Argyros School of Business and Economics, Chapman University, Orange, California (USA)",1005.24,0.5
947,"Huw David Dixon Cardiff Business School, Cardiff University, Cardiff, United Kingdom",1006.22,5
948,"Tom  McCurdy Finance, Rotman School of Management, University of Toronto, Toronto, Canada",1008.69,1
949,"Simon  Burgess Centre for Market and Public Organisation (CMPO), School of Economics, Finance and Management, University of Bristol, Bristol, United KingdomSchool of Economics, Finance and Management, University of Bristol, Bristol, United Kingdom",1008.77,4
950,George J. Stigler †,1009.31,1
951,"Markku  Lanne Politiikan ja Talouden Tutkimuksen Laitos, Valtiotieteellinen tiedekunta, Helsingin Yliopisto, Helsinki, Finland",1010.18,9
952,"Robert I. Lerman Department of Economics, American University, Washington, District of Columbia (USA)",1010.51,0.5
953,"Sebastian  Galiani Department of Economics, University of Maryland, College Park, Maryland (USA)",1012.3,2
954,"Ronald Demos Lee Center on the Economics and Demography of Aging (CEDA), University of California-Berkeley, Berkeley, California (USA)",1014.4,1
955,"Akihisa  Shibata Institute of Economic Research, Kyoto University, Kyoto, Japan",1014.56,9.5
956,"Justus  Haucap Düsseldorf Institute for Competition Economics (DICE), Wirtschaftswissenschaftliche Fakultät, Heinriche-Heine-Universität Düsseldorf, Düsseldorf, Germany",1015.36,10.5
957,"William D. Nordhaus Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)Economics Department, Yale University, New Haven, Connecticut (USA)",1015.82,0.5
958,"Otto  Swank Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",1018.09,1
959,"Ronald L. Oaxaca Institute of Labor Economics (IZA), Bonn, GermanyEconomics Department, Eller College of Management, University of Arizona, Tucson, Arizona (USA)",1018.34,5
960,"Juan F  Rubio-Ramirez Department of Economics, Emory University, Atlanta, Georgia (USA)",1019.81,3
961,"Andreas  Haufler Volkswirtschaftliche Fakultät, Ludwig-Maximilians-Universität München, München, Germany",1020.31,2
962,"David  Neumark Department of Economics, University of California-Irvine, Irvine, California (USA)",1023.79,4
963,"Charles  Brown Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",1023.84,1.5
964,"Eric  Verhoogen School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",1024.47,3
965,Paul D. Evans †,1024.78,2.5
966,"Pierre Yves Geoffard Paris School of Economics, Paris, France",1028.09,5
967,"Stephen  Smith Department of Economics, University College London (UCL), London, United Kingdom",1030.15,1
968,"John  Dewhurst Department of Economics Studies, University of Dundee, Dundee, United Kingdom",1031.41,1
969,"Hans J.M. Peters School of Business and Economics, Maastricht University, Maastricht, NetherlandsGraduate School of Business and Economics (GSBE), School of Business and Economics, Maastricht University, Maastricht, Netherlands",1034.72,1
970,"Edmund S. Phelps Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",1034.73,0.5
971,"Satyajit  Chatterjee Research Department, Federal Reserve Bank of Philadelphia, Philadelphia, Pennsylvania (USA)",1035.83,0.5
972,Gavin  Cameron †,1036.43,1
973,"Aimee  Chin Department of Economics, University of Houston, Houston, Texas (USA)",1036.49,3
974,"Jeffrey Marc Wooldridge Economics Department, Michigan State University, East Lansing, Michigan (USA)",1037.32,4
975,"Richard J. Zeckhauser Mossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",1038.33,1.5
976,"Jan Rose Skaksen Økonomisk Institut, Copenhagen Business School, Frederiksberg, Denmark",1041.68,1
977,"Pekka  Ilmakunnas Taloustieteen Laitos, Kauppakorkeakoulu, Aalto-yliopisto, Helsinki, Finland",1042.4,1
978,"Colin Jeffrey Roberts School of Economics, University of Edinburgh, Edinburgh, United Kingdom",1042.69,1
979,"Jeffrey M. Perloff Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)",1043.03,2
980,"Anil K Kashyap Booth School of Business, University of Chicago, Chicago, Illinois (USA)",1045.66,1.5
981,"Yves  Sprumont Département de Sciences Économiques, Université de Montréal, Montréal, CanadaCentre Interuniversitaire de Recherche en Économie Quantitative (CIREQ), Montréal, Canada",1046.3,3
982,"Shane Mitchell Greenstein Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",1048.22,0.5
983,"Jaume  Garcia Villar Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",1048.29,1
984,"Wolfgang  Keller National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",1049.32,3
985,"Charles  Engel Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",1049.59,2.5
986,Ralph Clair d'Arge †,1051.57,1
987,"David  Martimort Paris School of Economics, Paris, France",1051.66,3
988,"Nour  Meddahi Groupe de Recherche en Économie Mathématique et Quantitative (GREMAQ), Toulouse School of Economics (TSE), Toulouse, France",1055.25,2
989,Oliver E. Williamson †,1056.84,1.5
990,"Arthur  Lewbel Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",1057.97,10
991,"Lars  Ljungqvist Department of Economics, Handelshögskolan i Stockholm, Stockholm, Sweden",1058.9,2.5
992,"Cedric  Tille International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",1062.65,4
993,"Carlos A. Vegh International Economics Department, School of Advanced International Studies, Johns Hopkins University, Washington, District of Columbia (USA)",1063.94,1.5
994,"Miles Spencer Kimball Department of Economics, University of Colorado, Boulder, Colorado (USA)",1065.48,3.5
995,"Michele  Tertilt Abteilung für Volkswirtschaftslehre, Universität Mannheim, Mannheim, Germany",1065.83,1
996,"S. Boragan  Aruoba Department of Economics, University of Maryland, College Park, Maryland (USA)",1066.27,3.5
997,Leonard Jay Mirman †,1071.83,2
998,"Serena  Ng Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",1072.28,1.5
999,"Nicholas M. Kiefer Center for Analytic Economics, Department of Economics, Cornell University, Ithaca, New York (USA)",1072.71,1
1000,"Yi  Wen Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",1074.03,1.5
1001,"Robin C. Sickles Department of Economics, Rice University, Houston, Texas (USA)",1077.28,3.5
1002,"Robert Andrew Margo Department of Economics, Boston University, Boston, Massachusetts (USA)",1077.33,3.5
1003,"Barry  Reilly Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",1084.83,8
1004,"Claudia  Senik Paris School of Economics, Paris, France",1085.71,4.5
1005,"Aleksander  Berentsen Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",1087.33,9.5
1006,"Francis  Bloch Paris School of Economics, Paris, France",1089.15,4
1007,"George M. von Furstenberg Department of Economics, Indiana University, Bloomington, Indiana (USA)",1089.28,1
1008,"Thomas  Miceli Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",1091.08,3
1009,"Francis John Teal Centre for the Study of African Economies (CSAE), Department of Economics, Oxford University, Oxford, United Kingdom",1091.2,2.5
1010,"Jean M. Imbs Economics, New York University Abu Dhabi, Abu Dhabi, United Arab Emirates",1092.81,5.5
1011,"Lars P. Feld Walter Eucken Institut, Freiburg, Germany",1093.93,1
1012,"Timo  Goeschl Alfred-Weber-Institut für Wirtschaftswissenschaften, Fakultät für Wirtschafts- und Sozialwissenschaften, Ruprecht-Karls-Universität Heidelberg, Heidelberg, Germany",1094.07,6
1013,"Holger  Gorg Institut für Volkswirtschaftslehre, Christian-Albrechts-Universität Kiel, Kiel, Germany",1096.17,1
1014,"Walter Erwin Diewert Vancouver School of Economics, University of British Columbia, Vancouver, Canada",1096.8,1
1015,"Stephen  Spear Department of Economics, Tepper School of Business Administration, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",1096.83,3
1016,Edward  Greenberg †,1096.93,1
1017,"Julie Berry Cullen Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",1097.04,3
1018,"Kathleen  Segerson Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",1099.31,8
1019,"David  Laidler Department of Economics, University of Western Ontario, London, Canada",1099.44,1
1020,"James D. Dana Jr.Department of Economics, Northeastern University, Boston, Massachusetts (USA)",1100.49,1
1021,"Sean  Holly Centre for International Macroeconomics and Finance (CIMF), Cambridge Finance, University of Cambridge, Cambridge, United Kingdom",1102.24,2
