nb_downl,Surname,First,nb_pages,Author_clean,Students,nb_works,h_index,Author,nb_cit,vn_award,clark,nobel,Country,top10_shangai_yn
1497,Zenou,Yves,2742,Yves Zenou,0.5,510,30,"Yves Zenou Department of Economics, Monash Business School, Monash University, Melbourne, Australia",3040,0,0,0, Australia,0
1495,Sala-i-Martin,Xavier,1089,Xavier Sala-i-Martin,4.0,150,37,"Xavier Sala-i-Martin Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",10134,0,0,0,(USA),1
1483,White,Halbert,2286,Halbert White,4.5,194,36,Halbert White †,10924,0,0,0,None,0
1479,Ross,Stephen,1213,Stephen A. Ross,7.0,181,30,Stephen A. Ross †,9581,0,0,0,None,0
1475,Feenstra,Robert,1632,Robert C. Feenstra,3.5,285,42,"Robert C. Feenstra Economics Department, University of California-Davis, Davis, California (USA)",8535,0,0,0,(USA),0
1475,Rodney,Adrian,1428,Adrian Rodney,4.5,193,33,"Adrian Rodney Pagan School of Economics, Faculty of Arts and Social Sciences, University of Sydney, Sydney, Australia",7193,0,0,0, Australia,0
1463,Diebold,Francis,1413,Francis X. Diebold,18.0,370,54,"Francis X. Diebold Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",15736,0,0,0,(USA),0
1453,Hamermesh,Daniel,1799,Daniel Hamermesh,2.5,348,32,"Daniel Hamermesh Institute of Labor Economics (IZA), Bonn, Germany",3873,0,0,0, Germany,0
1445,Blinder,Alan,1921,Alan S. Blinder,4.5,205,35,"Alan S. Blinder Griswold Center for Economic Policy Studies, Department of Economics, Princeton University, Princeton, New Jersey (USA)Department of Economics, Princeton University, Princeton, New Jersey (USA)",5726,0,0,0,(USA),1
1441,McFadden,Daniel,1170,Daniel L. McFadden,5.0,174,33,"Daniel L. McFadden Department of Economics, University of California-Berkeley, Berkeley, California (USA)Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",5996,0,1,0,(USA),1
1424,Hamilton,James,1374,James Hamilton,17.0,141,41,"James Hamilton Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",12032,0,0,0,(USA),0
1410,Rosenzweig,Mark,2133,Mark R. Rosenzweig,2.0,227,46,"Mark R. Rosenzweig Economic Growth Center, Economics Department, Yale University, New Haven, Connecticut (USA)",7032,0,0,0,(USA),1
1409,King,Robert,1368,Robert G. King,13.5,150,38,"Robert G. King Department of Economics, Boston University, Boston, Massachusetts (USA)",11781,0,0,0,(USA),0
1406,Hanson,Gordon,1420,Gordon Hanson,1.5,197,40,"Gordon Hanson Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",7579,0,0,0,(USA),1
1381,Francis,Joseph,1299,Joseph Francis,4.5,284,22,"Joseph Francis Francois Department Volkswirtschaftlehre, Universität Bern, Bern, Switzerland",1797,0,0,0, Switzerland,0
1380,Freeman,Richard,2208,Richard B. Freeman,2.0,502,43,"Richard B. Freeman Centre for Economic Performance (CEP), London School of Economics (LSE), London, United KingdomNational Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",6367,0,0,0,(USA),1
1372,(Rick),Frederick,2580,Frederick (Rick),2.5,423,26,"Frederick (Rick) van der Ploeg Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford University, Oxford, United KingdomDepartment of Economics, Oxford University, Oxford, United Kingdom",3020,0,0,0, United Kingdom,0
1368,Oswald,Andrew,1535,Andrew J. Oswald,3.0,362,43,"Andrew J. Oswald Department of Economics, University of Warwick, Coventry, United KingdomInstitute of Labor Economics (IZA), Bonn, Germany",10602,0,0,0, Germany,0
1365,Hughes,Bronwyn,1256,Bronwyn Hughes,1.0,281,42,"Bronwyn Hughes Hall Department of Economics, University of California-Berkeley, Berkeley, California (USA)",8814,0,0,0,(USA),1
1361,Schorfheide,Frank,1008,Frank Schorfheide,4.0,185,30,"Frank Schorfheide Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",4397,0,0,0,(USA),0
1361,T,Sergio,1272,Sergio T,0.5,212,40,"Sergio T Rebelo Centre for Economic Policy Research (CEPR), London, United Kingdom",9622,0,0,0, United Kingdom,0
1346,Mendoza,Enrique,1490,Enrique G. Mendoza,9.0,240,35,"Enrique G. Mendoza Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",5571,0,0,0,(USA),0
1342,Johnson,Simon,1348,Simon Johnson,1.0,141,30,"Simon Johnson National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",10542,0,0,0,(USA),0
1339,Duranton,Gilles,1542,Gilles Duranton,1.0,250,28,"Gilles Duranton Real Estate Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",4059,0,0,0,(USA),0
1327,Meghir,Costas,1529,Costas Meghir,2.5,327,40,"Costas Meghir Economics Department, Yale University, New Haven, Connecticut (USA)",6083,0,0,0,(USA),1
1325,Taylor,John,1421,John B. Taylor,3.5,252,33,"John B. Taylor Department of Economics, Stanford University, Stanford, California (USA)Hoover Institution on War Revolution & Peace, Stanford University, Stanford, California (USA)",9344,0,0,0,(USA),1
1321,Noy,Ilan,1177,Ilan Noy,1.0,202,18,"Ilan Noy School of Economics and Finance, Wellington School of Business and Government, Victoria University of Wellington, Wellington, New Zealand",1248,0,0,0, New Zealand,0
1318,Weil,David,833,David N. Weil,4.0,163,28,"David N. Weil Economics Department, Brown University, Providence, Rhode Island (USA)",9280,0,0,0,(USA),0
1309,Hendry,David,2787,David F. Hendry,8.5,303,38,"David F. Hendry Department of Economics, Oxford University, Oxford, United Kingdom",5888,0,0,0, United Kingdom,0
1290,Saez,Emmanuel,1967,Emmanuel Saez,4.0,277,46,"Emmanuel Saez Department of Economics, University of California-Berkeley, Berkeley, California (USA)",9459,1,1,0,(USA),1
1286,Aizenman,Joshua,3035,Joshua Aizenman,4.5,531,35,"Joshua Aizenman Department of Economics, University of Southern California, Los Angeles, California (USA)",3729,0,0,0,(USA),0
1281,Galiani,Sebastian,1493,Sebastian Galiani,2.0,222,20,"Sebastian Galiani Department of Economics, University of Maryland, College Park, Maryland (USA)",1815,0,0,0,(USA),0
1276,Anderson,James,1070,James E. Anderson,10.0,218,22,"James E. Anderson Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",6058,0,0,0,(USA),0
1267,Kehoe,Patrick,1460,Patrick Kehoe,3.5,264,40,"Patrick Kehoe Department of Economics, Stanford University, Stanford, California (USA)",8105,0,0,0,(USA),1
1265,Zeckhauser,Richard,2835,Richard J. Zeckhauser,1.5,390,33,"Richard J. Zeckhauser Mossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",5284,0,0,0,(USA),1
1264,Horvath,Roman,1239,Roman Horvath,4.5,245,15,"Roman Horvath Institut ekonomických studií, Univerzita Karlova v Praze, Praha, Czech Republic",1030,0,0,0, Czech Republic,0
1260,Richard,Jere,3703,Jere Richard,2.0,366,36,"Jere Richard Behrman Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",4908,0,0,0,(USA),0
1259,Armstrong,Mark,971,Mark Armstrong,4.5,121,28,"Mark Armstrong Department of Economics, Oxford University, Oxford, United Kingdom",2714,0,0,0, United Kingdom,0
1258,Hein,Eckhard,1370,Eckhard Hein,4.0,222,17,"Eckhard Hein Fachbereich Wirtschaftswissenschaften, Hochschule für Wirtschaft und Recht, Berlin, Germany",973,0,0,0, Germany,0
1254,Ian,David,908,David Ian,1.0,157,24,"David Ian Stern Arndt-Corden Department of Economics, Crawford School of Public Policy, Australian National University, Canberra, Australia",3667,0,0,0, Australia,0
1253,Szymanski,Stefan,1089,Stefan Szymanski,0.5,124,20,Stefan Szymanski,1297,0,0,0,Stefan Szymanski,0
1247,Katz,Lawrence,1819,Lawrence F. Katz,43.0,240,52,"Lawrence F. Katz Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",12052,0,0,0,(USA),1
1235,Feldstein,Martin,2715,Martin S. Feldstein,4.5,543,47,Martin S. Feldstein †,8870,0,1,0,None,0
1232,Chernozhukov,Victor,1352,Victor Chernozhukov,2.5,292,27,"Victor Chernozhukov Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",3048,0,0,0,(USA),1
1229,Currie,Janet,2387,Janet Currie,14.5,294,43,"Janet Currie Department of Economics, Princeton University, Princeton, New Jersey (USA)Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",6405,0,0,0,(USA),1
1229,Robert,Alan,2345,Alan Auerbach Robert,8.5,374,37,"Alan Auerbach Robert D. Burch Center for Tax Policy and Public Finance, Department of Economics, University of California-Berkeley, Berkeley, California (USA)",4744,0,0,0,(USA),1
1210,Krueger,Dirk,764,Dirk Krueger,9.5,192,25,"Dirk Krueger Penn Institute for Economic Research, Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",2500,0,0,0,(USA),0
1210,Erwin,Walter,2235,Walter Erwin,1.0,289,28,"Walter Erwin Diewert Vancouver School of Economics, University of British Columbia, Vancouver, Canada",4521,0,0,0, Canada,0
1199,Piketty,Thomas,1238,Thomas Piketty,10.0,223,29,"Thomas Piketty Paris School of Economics, Paris, France",4914,0,0,0, France,0
1189,H,Wilbert,861,Wilbert H,1.0,160,20,"Wilbert H van der Klaauw Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",2092,0,0,0,(USA),0
1184,Markusen,James,1454,James R. Markusen,1.5,194,40,"James R. Markusen Department of Economics, University of Colorado, Boulder, Colorado (USA)",7895,0,0,0,(USA),0
1165,Attanasio,Orazio,2100,Orazio Attanasio,2.0,249,36,"Orazio Attanasio Department of Economics, University College London (UCL), London, United Kingdom",4728,0,0,0, United Kingdom,0
1163,Barnes,Anthony,2211,Anthony Barnes,4.5,278,36,Anthony Barnes Atkinson †,8083,0,0,0,None,0
1154,Philippon,Thomas,916,Thomas Philippon,0.5,130,23,"Thomas Philippon Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",2145,0,0,0,(USA),1
1153,O.,Lars,2214,Lars E. O.,1.5,375,47,"Lars E. O. Svensson Handelshögskolan i Stockholm, Stockholm, Sweden",8422,0,0,0, Sweden,0
1152,Chetty,Raj,1421,Raj Chetty,4.0,137,31,"Raj Chetty Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",4920,0,1,0,(USA),1
1146,Head,Keith,906,Keith Head,0.5,175,29,"Keith Head Strategy and Business Economics Division, Sauder School of Business, University of British Columbia, Vancouver, Canada",4742,0,0,0, Canada,0
1143,Orregaard,Morten,1156,Morten Orregaard,1.0,160,20,"Morten Orregaard Nielsen Economics Department, Queen's University, Kingston, Canada",1143,0,0,0, Canada,0
1139,Glewwe,Paul,1374,Paul William Glewwe,4.5,149,23,"Paul William Glewwe Department of Applied Economics, College of Agricultural, Food, and Environmental Sciences, University of Minnesota-St. Paul, St. Paul, Minnesota (USA)",2271,0,0,0,(USA),0
1135,Brueckner,Jan,2335,Jan K. Brueckner,2.0,232,37,"Jan K. Brueckner Department of Economics, University of California-Irvine, Irvine, California (USA)",4170,0,0,0,(USA),0
1133,Gachter,Simon,864,Simon Gachter,4.0,220,34,"Simon Gachter Centre for Decision Research and Experimental Economics (CeDEx), School of Economics, University of Nottingham, Nottingham, United Kingdom",8252,0,0,0, United Kingdom,0
1131,Feld,Lars,2110,Lars P. Feld,1.0,328,22,"Lars P. Feld Walter Eucken Institut, Freiburg, Germany",2036,0,0,0, Germany,0
1123,Patrick,Ronald,1428,Ronald Patrick,0.5,191,28,"Ronald Patrick Smith Department of Economics, Mathematics and Statistics, Birkbeck College, London, United Kingdom",3940,0,0,0, United Kingdom,0
1119,Newey,Whitney,1383,Whitney Newey,3.0,165,42,"Whitney Newey Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",11812,0,0,0,(USA),1
1118,Menkhoff,Lukas,1876,Lukas Menkhoff,1.0,260,20,"Lukas Menkhoff DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",1533,0,0,0, Germany,0
1112,Frenken,Koen,1115,Koen Frenken,0.5,182,22,"Koen Frenken Copernicus Institute for Sustainable Development and Innovation, Faculteit Ruimtelijke Wetenschappen, Universiteit Utrecht, Utrecht, Netherlands",2298,0,0,0, Netherlands,0
1107,Gorton,Gary,1251,Gary Gorton,1.0,224,35,"Gary Gorton School of Management, Yale University, New Haven, Connecticut (USA)",4117,0,0,0,(USA),1
1102,Levitt,Steven,1451,Steven Levitt,1.5,152,40,"Steven Levitt Department of Economics, University of Chicago, Chicago, Illinois (USA)",5165,0,1,0,(USA),1
1102,Dornbusch,Rudiger,2091,Rudiger Dornbusch,15.0,235,31,Rudiger Dornbusch †,5354,0,0,0,None,0
1097,Doepke,Matthias,802,Matthias Doepke,6.5,180,17,"Matthias Doepke Department of Economics, Northwestern University, Evanston, Illinois (USA)",1773,0,0,0,(USA),0
1090,Bernheim,B.,1654,B. Douglas Bernheim,2.5,163,35,"B. Douglas Bernheim Department of Economics, Stanford University, Stanford, California (USA)",6497,0,0,0,(USA),1
1089,Benhabib,Jess,1699,Jess Benhabib,2.0,218,32,"Jess Benhabib Department of Economics, New York University (NYU), New York City, New York (USA)",5949,0,0,0,(USA),1
1088,Milgrom,Paul,1272,Paul Milgrom,11.0,147,41,"Paul Milgrom Department of Economics, Stanford University, Stanford, California (USA)",13324,0,0,0,(USA),1
1082,Ronald,Hal,783,Hal Ronald,3.5,114,27,"Hal Ronald Varian Department of Economics, University of California-Berkeley, Berkeley, California (USA)",4261,0,0,0,(USA),1
1072,Kamalakar,Avinash,1738,Avinash Kamalakar,2.5,189,38,"Avinash Kamalakar Dixit Department of Economics, Princeton University, Princeton, New Jersey (USA)",10676,0,0,0,(USA),1
1068,Charles,Jean,2237,Jean Charles,12.0,256,32,"Jean Charles Rochet Geneva Finance Research Institute (GFRI), Université de Genève, Genève, Switzerland",5870,0,0,0, Switzerland,0
1062,Farhi,Emmanuel,1524,Emmanuel Farhi,4.0,216,28,"Emmanuel Farhi Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",2670,0,0,0,(USA),1
1060,Gallegati,Mauro,2776,Mauro Gallegati,1.5,269,24,"Mauro Gallegati Dipartimento di Management, Facoltà di Economia ""Giorgio Fuà"", Università Politecnica delle Marche, Ancona, Italy",2081,0,0,0, Italy,0
1058,Mogstad,Magne,937,Magne Mogstad,1.0,162,21,"Magne Mogstad Department of Economics, University of Chicago, Chicago, Illinois (USA)",1443,0,0,0,(USA),1
1058,Smith,Vernon,2338,Vernon L. Smith,3.0,244,38,"Vernon L. Smith Economic Science Institute (ESI), Argyros School of Business and Economics, Chapman University, Orange, California (USA)",5591,0,0,1,(USA),0
1057,Van,Johannes,901,Johannes Van,2.5,131,15,"Johannes Van Biesebroeck Centrum voor Economische Studiën, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",1522,0,0,0, Belgium,0
1056,Howitt,Peter,1343,Peter Howitt,3.5,152,32,"Peter Howitt Economics Department, Brown University, Providence, Rhode Island (USA)",7874,0,0,0,(USA),0
1053,Lemieux,Thomas,1428,Thomas Lemieux,1.5,147,28,"Thomas Lemieux Vancouver School of Economics, University of British Columbia, Vancouver, Canada",6596,0,0,0, Canada,0
1052,Schmitt-Grohe,Stephanie,942,Stephanie Schmitt-Grohe,1.0,181,29,"Stephanie Schmitt-Grohe Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",5130,0,0,0,(USA),1
1047,Lazear,Edward,857,Edward Lazear,2.5,133,27,"Edward Lazear Graduate School of Business, Stanford University, Stanford, California (USA)",6181,0,0,0,(USA),1
1047,Baumol,William,2083,William J. Baumol,1.0,268,28,William J. Baumol †,6279,0,0,0,None,0
1045,Zimmermann,Klaus,2855,Klaus F. Zimmermann,16.5,645,30,"Klaus F. Zimmermann United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, Netherlands",3254,0,0,0, Netherlands,0
1041,Hans,Philip,3098,Philip Hans,1.5,591,27,"Philip Hans Franses Econometrisch Instituut, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",3201,0,0,0, Netherlands,0
1038,Claire,Marie,1467,Marie Claire,1.0,795,19,"Marie Claire Villeval Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne), Université de Lyon, Lyon, France",1732,0,0,0, France,0
1036,Gerald,Michael,1408,Michael Gerald,0.5,364,26,"Michael Gerald Pollitt Energy Policy Research Group, Judge Business School, University of Cambridge, Cambridge, United Kingdom",2342,0,0,0, United Kingdom,0
1032,Diamond,Peter,1972,Peter A. Diamond,7.5,214,37,"Peter A. Diamond Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",7159,0,0,1,(USA),1
1031,Maskus,Keith,1405,Keith E. Maskus,6.5,148,28,"Keith E. Maskus Department of Economics, University of Colorado, Boulder, Colorado (USA)",2620,0,0,0,(USA),0
1029,Bai,Jushan,1470,Jushan Bai,3.5,119,29,"Jushan Bai Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",9235,0,0,0,(USA),1
1021,Kocenda,Evzen,1678,Evzen Kocenda,8.0,235,19,"Evzen Kocenda Institut ekonomických studií, Univerzita Karlova v Praze, Praha, Czech Republic",1110,0,0,0, Czech Republic,0
1021,Philip,Anthony,1443,Anthony Philip,1.0,128,17,"Anthony Philip Thirlwall School of Economics, University of Kent, Canterbury, United Kingdom",1398,0,0,0, United Kingdom,0
1015,Barrett,Christopher,2837,Christopher B. Barrett,16.0,357,37,"Christopher B. Barrett Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)",5262,0,0,0,(USA),0
1013,Devereux,Michael,2827,Michael P. Devereux,0.5,311,35,"Michael B. Devereux Vancouver School of Economics, University of British Columbia, Vancouver, Canada",4374,0,0,0, Canada,0
1012,J,Rob,779,Rob J,2.0,166,20,"Rob J Hyndman Department of Econometrics and Business Statistics, Monash Business School, Monash University, Melbourne, Australia",1762,0,0,0, Australia,0
1007,Karlan,Dean,1285,Dean S. Karlan,1.5,356,30,"Dean S. Karlan Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",3676,0,0,0,(USA),0
1005,Sturm,Jan-Egbert,5924,Jan-Egbert Sturm,4.0,365,26,"Jan-Egbert Sturm KOF Swiss Economic Institute, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland",2382,0,0,0, Switzerland,0
1003,Dercon,Stefan,1669,Stefan Dercon,9.5,212,28,"Stefan Dercon Centre for the Study of African Economies (CSAE), Department of Economics, Oxford University, Oxford, United Kingdom",3122,0,0,0, United Kingdom,0
996,Fritsch,Michael,1567,Michael Fritsch,12.0,304,31,"Michael Fritsch Wirtschaftswissenschaftliche Fakultät, Friedrich-Schiller-Universität Jena, Jena, Germany",2700,0,0,0, Germany,0
986,Rosen,Sherwin,952,Sherwin Rosen,6.0,124,30,Sherwin Rosen †,8079,0,0,0,None,0
983,Bernard,Andrew,908,Andrew B. Bernard,0.5,252,38,"Andrew B. Bernard Tuck School of Business, Dartmouth College, Hanover, New Hampshire (USA)",8592,0,0,0,(USA),0
983,Ng,Serena,1579,Serena Ng,1.5,175,34,"Serena Ng Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",7461,0,0,0,(USA),1
981,P,Michael,2596,Michael P,15.5,211,39,"Michael P Keane School of Economics, UNSW Business School, UNSW Sydney, Sydney, Australia",5596,0,0,0, Australia,0
981,Rios-Rull,Jose-Victor,1221,Jose-Victor Rios-Rull,15.0,153,27,"Jose-Victor Rios-Rull Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",3230,0,0,0,(USA),0
980,Leeper,Eric,1067,Eric Leeper,9.5,165,29,"Eric Leeper Department of Economics, University of Virginia, Charlottesville, Virginia (USA)",4275,0,0,0,(USA),0
979,F,Juan,995,Juan F,3.0,211,28,"Juan F Rubio-Ramirez Department of Economics, Emory University, Atlanta, Georgia (USA)",2836,0,0,0,(USA),0
977,Muellbauer,John,1413,John Muellbauer,3.0,189,24,"John Muellbauer Department of Economics, Oxford University, Oxford, United Kingdom",4429,0,0,0, United Kingdom,0
972,Verspagen,Bart,1354,Bart Verspagen,8.0,211,28,"Bart Verspagen United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, Netherlands",2460,0,0,0, Netherlands,0
969,Grossman,Michael,1000,Michael Grossman,8.0,184,30,"Michael Grossman Department of Economics, Graduate Center, City University of New York (CUNY), New York City, New York (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",5071,0,1,0,(USA),0
966,Hart,Oliver,835,Oliver D. Hart,4.5,161,37,"Oliver D. Hart Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",11040,0,0,1,(USA),1
961,Krusell,Per,1404,Per Krusell,25.0,189,29,"Per Krusell Institute for International Economic Studies (IIES), Stockholms Universitet, Stockholm, Sweden",4477,0,0,0, Sweden,0
958,Beine,Michel,1264,Michel Beine,0.5,223,23,"Michel Beine Centre de Recherche en Économie Appliquée (CREA), Faculté de droit, d'économie et de finance, Université du Luxembourg, Luxembourg, Luxembourg",1905,0,0,0, Luxembourg,0
952,G,Kjell,1199,Kjell G,1.0,249,28,"Kjell G Salvanes Institutt for samfunnsøkonomi, Norges Handelshøyskole (NHH), Bergen, Norway",3035,0,0,0, Norway,0
947,Jayne,Thomas,1540,Thomas S. Jayne,1.0,405,27,"Thomas S. Jayne Department of Agricultural, Food and Resource Economics, College of Agriculture and Natural Resources, Michigan State University, East Lansing, Michigan (USA)",2377,0,0,0,(USA),0
942,Van,Ngo,2808,Ngo Van,2.0,423,23,"Ngo Van Long Department of Economics, McGill University, Montréal, Canada",2336,0,0,0, Canada,0
940,Huizinga,Harry,1142,Harry P. Huizinga,0.5,233,27,"Harry P. Huizinga Departement Algemene Economie, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",3450,0,0,0, Netherlands,0
931,Hurlin,Christophe,878,Christophe Hurlin,4.0,214,16,"Christophe Hurlin Laboratoire d'Économie d'Orléans (LEO), Faculté de droit, d'économie et de gestion, Université d'Orléans, Orléans, France",1213,0,0,0, France,0
925,Gourinchas,Pierre-Olivier,783,Pierre-Olivier Gourinchas,3.0,146,24,"Pierre-Olivier Gourinchas Department of Economics, University of California-Berkeley, Berkeley, California (USA)",3409,0,0,0,(USA),1
925,Pestieau,Pierre,4211,Pierre Pestieau,2.5,940,28,"Pierre Pestieau Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",3072,0,0,0, Belgium,0
923,Johansen,Soren,1083,Soren Johansen,8.0,173,26,"Soren Johansen Økonomisk Institut, Københavns Universitet, København, Denmark",17598,0,0,0, Denmark,0
922,Michael,Andrew,1639,Andrew Michael,13.5,237,27,"Andrew Michael Jones Department of Economics and Related Studies, University of York, York, United Kingdom",2260,0,0,0, United Kingdom,0
920,Hjortshoj,Kevin,1223,Kevin Hjortshoj,2.0,271,21,"Kevin Hjortshoj O'Rourke Economics, New York University Abu Dhabi, Abu Dhabi, United Arab Emirates",1923,0,0,0, United Arab Emirates,1
917,Peter,Lars,1715,Lars Peter,25.5,166,40,"Lars Peter Hansen Department of Economics, University of Chicago, Chicago, Illinois (USA)",10612,0,0,0,(USA),1
917,Combes,Pierre-Philippe,1143,Pierre-Philippe Combes,2.0,268,23,"Pierre-Philippe Combes Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne), Université de Lyon, Lyon, FranceDepartment of Economics, Sciences économiques, Sciences Po, Paris, France",2566,0,0,0, France,0
917,Caballero,Ricardo,1987,Ricardo J. Caballero,9.5,285,46,"Ricardo J. Caballero Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",7286,0,0,0,(USA),1
910,Smyth,Russell,3515,Russell Smyth,5.5,373,28,"Russell Smyth Department of Economics, Monash Business School, Monash University, Melbourne, Australia",3391,0,0,0, Australia,0
908,Bergemann,Dirk,1239,Dirk Bergemann,5.5,302,21,"Dirk Bergemann Economics Department, Yale University, New Haven, Connecticut (USA)",1436,0,0,0,(USA),1
907,Pakes,Ariel,1248,Ariel Pakes,14.5,145,31,"Ariel Pakes Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",7491,0,0,0,(USA),1
905,Heshmati,Almas,1855,Almas Heshmati,0.5,291,17,"Almas Heshmati Nationalekonomi, Internationella Handelshögskolan, Jönköping Universitet, Jönköping, Sweden",1238,0,0,0, Sweden,0
905,Modigliani,Franco,1166,Franco Modigliani,3.0,113,19,Franco Modigliani †,2509,0,0,1,(USA),1
903,Ashenfelter,Orley,1320,Orley Ashenfelter,6.0,255,29,"Orley Ashenfelter Department of Economics, Princeton University, Princeton, New Jersey (USA)Institute of Labor Economics (IZA), Bonn, Germany",3804,0,0,0, Germany,1
903,Roland,Gerard,1228,Gerard Roland,2.0,195,32,"Gerard Roland Department of Economics, University of California-Berkeley, Berkeley, California (USA)",3707,0,0,0,(USA),1
895,Griffith,Rachel,1324,Rachel Griffith,1.0,186,29,"Rachel Griffith School of Economics, University of Manchester, Manchester, United Kingdom",5762,0,0,0, United Kingdom,0
892,Cahuc,Pierre,1814,Pierre Cahuc,3.0,324,28,"Pierre Cahuc Department of Economics, Sciences économiques, Sciences Po, Paris, France",2700,0,0,0, France,0
891,Poterba,James,1700,James Poterba,19.5,387,47,"James Poterba Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",8224,0,0,0,(USA),1
890,Jovanovic,Boyan,1211,Boyan Jovanovic,5.5,205,34,"Boyan Jovanovic Department of Economics, New York University (NYU), New York City, New York (USA)",7661,0,0,0,(USA),1
888,Terasvirta,Timo,1285,Timo Terasvirta,6.0,218,29,"Timo Terasvirta Center for Research in Econometric Analysis of Time Series (CREATES), Institut for Økonomi, Aarhus Universitet, Aarhus, DenmarkCenter for Applied Statistics and Econometrics (CASE), Humboldt-Universität Berlin, Berlin, Germany",3610,0,0,0, Germany,0
887,Yuji,Charles,841,Charles Yuji,1.0,192,15,"Charles Yuji Horioka Research Institute for Economics and Business Administration (RIEB), Kobe University, Kobe, Japan",1809,0,0,0, Japan,0
885,Buiter,Willem,2265,Willem Hendrik Buiter,1.5,363,25,"Willem Hendrik Buiter School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)Maurice R. Greenberg Center for Geoeconomic Studies, Council on Foreign Relations, Washington, District of Columbia (USA)",2353,0,0,0,(USA),1
883,Lutkepohl,Helmut,1364,Helmut Lutkepohl,1.5,245,27,"Helmut Lutkepohl DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",2497,0,0,0, Germany,0
874,Leslie,Paul,2036,Paul Leslie,2.0,263,19,"Paul Leslie Levine School of Economics, University of Surrey, Guildford, United Kingdom",1365,0,0,0, United Kingdom,0
871,McGrattan,Ellen,868,Ellen R. McGrattan,2.0,181,28,"Ellen R. McGrattan Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",3804,0,0,0,(USA),0
869,Taylor,Mark,2410,Mark P. Taylor,2.0,265,41,"Mark P. Taylor Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)",7524,0,0,0,(USA),0
