Rank,Author,Score,Author_clean
721,"Qi Li Department of Economics, Texas A&M University, College Station, Texas (USA)",3009,Qi Li
722,"Peter P. Wakker Econometrisch Instituut, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",3006,Peter P. Wakker
723,"Malcolm Baker Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",3004,Malcolm Baker
724,"Todd Clark Economic Research, Federal Reserve Bank of Cleveland, Cleveland, Ohio (USA)",3002,Todd Clark
725,"Stephen Ross Yeaple National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",2996,Stephen Ross
726,"David Easley Department of Economics, Cornell University, Ithaca, New York (USA)",2995,David Easley
727,"Peter Reinhard Hansen Department of Economics, University of North Carolina-Chapel-Hill, Chapel Hill, North Carolina (USA)",2993,Peter Reinhard
728,"Siem Jan Koopman Afdeling Econometrie and Operations Research, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",2992,Siem Jan
729,"Eric J. Bartelsman School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",2991,Eric J. Bartelsman
730,"Richard J. Arnott Department of Economics, University of California-Riverside, Riverside, California (USA)",2984,Richard J. Arnott
731,"Nina Pavcnik Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",2983,Nina Pavcnik
732,"George M. Constantinides Booth School of Business, University of Chicago, Chicago, Illinois (USA)",2980,George M. Constantinides
733,"Ugo Panizza International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",2973,Ugo Panizza
734,"Toni M Whited Ross School of Business, University of Michigan, Ann Arbor, Michigan (USA)",2970,Toni M
735,"Roni Michaely Geneva Finance Research Institute (GFRI), Université de Genève, Genève, Switzerland",2966,Roni Michaely
736,"Christopher John Erceg Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)",2965,Christopher John
737,"Ingmar R. Prucha Department of Economics, University of Maryland, College Park, Maryland (USA)",2963,Ingmar R. Prucha
738,"Charles M. C. Lee Graduate School of Business, Stanford University, Stanford, California (USA)",2957,Charles M. C.
738,"Michael Rothschild Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)Department of Economics, Princeton University, Princeton, New Jersey (USA)",2957,Michael Rothschild
740,"Victor Chaim Lavy Department of Economics, University of Warwick, Coventry, United KingdomDepartment of Economics, Hebrew University of Jerusalem, Jerusalem, Israel",2948,Victor Chaim
741,"Hillel Rapoport Paris School of Economics, Paris, France",2947,Hillel Rapoport
742,"Dilip Mookherjee Institute for Economic Development, Department of Economics, Boston University, Boston, Massachusetts (USA)",2946,Dilip Mookherjee
743,"Masahisa Fujita Institute of Economic Research, Kyoto University, Kyoto, Japan",2935,Masahisa Fujita
744,"Pedro Carneiro Department of Economics, University College London (UCL), London, United Kingdom",2931,Pedro Carneiro
745,"Gary E. Bolton Laboratory for Economics Management and Auctions (LEMA), Smeal College of Business Administration, Pennsylvania State University, State College, Pennsylvania (USA)",2929,Gary E. Bolton
746,"Morten Overgaard Ravn Department of Economics, University College London (UCL), London, United Kingdom",2927,Morten Overgaard
747,"Christina Duckworth Romer Department of Economics, University of California-Berkeley, Berkeley, California (USA)",2922,Christina Duckworth
747,"Andres Rodriguez-Clare National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",2922,Andres Rodriguez-Clare
749,"David E. M. Sappington Economics Department, University of Florida, Gainesville, Florida (USA)",2920,David E. M.
750,"Michael Shields Centre for Health Economics, Monash Business School, Monash University, Melbourne, Australia",2918,Michael Shields
751,"Dietmar Harhoff Max-Planck-Institut für Innovation und Wettbewerb, Max-Planck-Gesellschaft, München, Germany",2906,Dietmar Harhoff
751,"Christian Gollier Toulouse School of Economics (TSE), Toulouse, France",2906,Christian Gollier
753,"James P. Smith RAND, Santa Monica, California (USA)",2899,James P. Smith
754,"Helmuth Cremer Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, FranceGroupe de Recherche en Économie Mathématique et Quantitative (GREMAQ), Toulouse School of Economics (TSE), Toulouse, France",2893,Helmuth Cremer
755,Charles W. Calomiris,2892,Charles W. Calomiris
756,"Jianqing Fan Bendheim Center for Finance, Department of Economics, Princeton University, Princeton, New Jersey (USA)Department of Economics, Princeton University, Princeton, New Jersey (USA)",2891,Jianqing Fan
757,"Lise Vesterlund Department of Economics, University of Pittsburgh, Pittsburgh, Pennsylvania (USA)",2887,Lise Vesterlund
757,"Francesco Trebbi Vancouver School of Economics, University of British Columbia, Vancouver, Canada",2887,Francesco Trebbi
759,"Eric Ghysels Department of Economics, University of North Carolina-Chapel-Hill, Chapel Hill, North Carolina (USA)",2885,Eric Ghysels
760,Robert John LaLonde †,2883,Robert John
761,"Antonio Ciccone Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",2878,Antonio Ciccone
762,"Milton Harris Applied Economics Workshop, Booth School of Business, University of Chicago, Chicago, Illinois (USA)",2874,Milton Harris
763,"Marco Lippi Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy",2873,Marco Lippi
763,"Steven Shavell National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",2873,Steven Shavell
765,Martin Weber,2872,Martin Weber
766,"Andrea Ichino Department of Economics, European University Institute, Firenze, ItalyDipartimento di Scienze Economiche, Alma Mater Studiorum - Università di Bologna, Bologna, Italy",2871,Andrea Ichino
766,"Jerry Green Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",2871,Jerry Green
768,"Leonardo Gambacorta Bank for International Settlements (BIS), Basel, Switzerland",2870,Leonardo Gambacorta
769,"Eric T. Swanson Department of Economics, University of California-Irvine, Irvine, California (USA)",2865,Eric T. Swanson
770,"Sergio Luis Schmukler Development Research Group, World Bank Group, Washington, District of Columbia (USA)",2863,Sergio Luis
771,"Reinhilde Veugelers Onderzoekseenheid Bedrijfseconomie, Strategie en Innovatie, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",2862,Reinhilde Veugelers
772,"Giovanni Luca Violante Department of Economics, New York University (NYU), New York City, New York (USA)",2858,Giovanni Luca
773,"Alain de Janvry Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)Goldman School of Public Policy, University of California-Berkeley, Berkeley, California (USA)",2855,Alain de
773,"Simon Potter Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",2855,Simon Potter Peter
775,Peter F. Christoffersen †,2851,Peter F. Christoffersen
776,Allan H. Meltzer †,2846,Allan H. Meltzer
776,"Ray Ball Booth School of Business, University of Chicago, Chicago, Illinois (USA)",2846,Ray Ball
778,"Ian Parry International Monetary Fund (IMF), Washington, District of Columbia (USA)",2839,Ian Parry
779,"Martin Lettau Finance Group, Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",2838,Martin Lettau Finance
780,"William N. Evans Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",2836,William N. Evans
780,"Juan F Rubio-Ramirez Department of Economics, Emory University, Atlanta, Georgia (USA)",2836,Juan F
782,"Edward Nelson Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)",2832,Edward Nelson
783,"Nelson C. Mark Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",2826,Nelson C. Mark
784,"Benjamin Klein Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2824,Benjamin Klein
785,"Arthur Lewbel Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",2823,Arthur Lewbel
786,"Mark M Spiegel Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",2821,Mark M
787,"Marco E. Terrones Departamento Académico de Economía, Universidad del Pacífico, Lima, Peru",2820,Marco E. Terrones
788,"Jonathan Skinner Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",2819,Jonathan Skinner
788,Jeffrey Gale Williamson,2819,Jeffrey Gale
790,"Stefano DellaVigna Department of Economics, University of California-Berkeley, Berkeley, California (USA)",2817,Stefano DellaVigna
790,"Christopher Woodruff Oxford Poverty and Human Development Initiative (OPHI), Department of International Development (Queen Elizabeth House), Oxford University, Oxford, United Kingdom",2817,Christopher Woodruff
792,"Jayson L. Lusk Department of Agricultural Economics, Purdue University, West Lafayette, Indiana (USA)",2816,Jayson L. Lusk
793,"Richard A. Meese Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",2815,Richard A. Meese
794,"Robert Owen Mendelsohn Economics Department, Yale University, New Haven, Connecticut (USA)",2813,Robert Owen
794,"Nathan Nunn Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",2813,Nathan Nunn
796,Marvin Goodfriend †,2802,Marvin Goodfriend
797,"Edward C. Norton Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",2800,Edward C. Norton
798,"Ada Ferrer-i-Carbonell Institut d'Anàlisi Econòmica CSIC (IAE-CSIC), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",2790,Ada Ferrer-i-Carbonell
798,"Richard Anthony Kneller School of Economics, University of Nottingham, Nottingham, United Kingdom",2790,Richard Anthony
800,"Chad Syverson Booth School of Business, University of Chicago, Chicago, Illinois (USA)",2787,Chad Syverson
801,"Gilbert W. Bassett Jr.Department of Finance, College of Business Administration, University of Illinois at Chicago, Chicago, Illinois (USA)",2785,Gilbert W. Bassett
802,"David B. Gordon Rochester Center for Economic Research (RCER), University of Rochester, Rochester, New York (USA)",2783,David B. Gordon
803,"Joachim Wagner Institut für Volkswirtschaftslehre, Fakultät Wirtschaftswissenschaften, Leuphana Universität Lüneburg, Lüneburg, Germany",2782,Joachim Wagner
804,"Magnus Blomstrom The European Institute of Japanese Studies, Handelshögskolan i Stockholm, Stockholm, Sweden",2780,Magnus Blomstrom
805,"Shelly J Lundberg Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",2772,Shelly J
806,"Albert S. Kyle Finance Department, Robert H. Smith School of Business, University of Maryland, College Park, Maryland (USA)",2769,Albert S. Kyle
807,"John Ries Strategy and Business Economics Division, Sauder School of Business, University of British Columbia, Vancouver, Canada",2767,John Ries
807,"Barry Kent Goodwin Department of Agricultural and Resource Economics, North Carolina State University, Raleigh, North Carolina (USA)",2767,Barry Kent
809,"Gerard Caprio Jr.Economics Department, Williams College, Williamstown, Massachusetts (USA)",2764,Gerard Caprio Jr.Economics
810,"Kevin Stiroh Federal Reserve Bank of New York, New York City, New York (USA)",2758,Kevin Stiroh
811,"Dermot James Hayes College of Business, Iowa State University, Ames, Iowa (USA)",2751,Dermot James
812,"Elisabeth Sadoulet Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)",2748,Elisabeth Sadoulet
813,"Flavio Cunha Department of Economics, Rice University, Houston, Texas (USA)",2747,Flavio Cunha
813,"Tobias Adrian International Monetary Fund (IMF), Washington, District of Columbia (USA)",2747,Tobias Adrian
815,"Kyle Bagwell Department of Economics, Stanford University, Stanford, California (USA)",2746,Kyle Bagwell
816,"Mohsen Bahmani-Oskooee Economics Department, University of Wisconsin, Milwaukee, Wisconsin (USA)",2745,Mohsen Bahmani-Oskooee
817,"Timothy Dunne Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",2742,Timothy Dunne
818,"Robert Waldmann Dipartimento di Economia e Finanza, Facoltà di Economia, Università degli Studi di Roma ""Tor Vergata"", Roma, Italy",2739,Robert Waldmann
819,"Rajnish Mehra Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",2732,Rajnish Mehra Department
820,"George J. Mailath Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",2728,George J. Mailath
821,"Robert H. Topel Booth School of Business, University of Chicago, Chicago, Illinois (USA)",2716,Robert H. Topel
821,"Lucian Bebchuk John M. Olin Center for Law, Economics, and Business, Harvard School of Law, Harvard University, Cambridge, Massachusetts (USA)",2716,Lucian Bebchuk John
823,"Mark Armstrong Department of Economics, Oxford University, Oxford, United Kingdom",2714,Mark Armstrong
824,"Yacine Ait-Sahalia Bendheim Center for Finance, Department of Economics, Princeton University, Princeton, New Jersey (USA)",2708,Yacine Ait-Sahalia
825,"Cheng Hsiao Department of Economics, University of Southern California, Los Angeles, California (USA)",2707,Cheng Hsiao
826,"Maureen L. Cropper Department of Economics, University of Maryland, College Park, Maryland (USA)Resources for the Future (RFF), Washington, District of Columbia (USA)",2705,Maureen L. Cropper
827,"Roger H. Gordon Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",2702,Roger H. Gordon
827,"Narayana Kocherlakota Economics Department, University of Rochester, Rochester, New York (USA)",2702,Narayana Kocherlakota
829,Agnar Sandmo †,2701,Agnar Sandmo
830,"Michael Fritsch Wirtschaftswissenschaftliche Fakultät, Friedrich-Schiller-Universität Jena, Jena, Germany",2700,Michael Fritsch
830,"Gary D. Hansen Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2700,Gary D. Hansen
830,"Pierre Cahuc Department of Economics, Sciences économiques, Sciences Po, Paris, France",2700,Pierre Cahuc
833,"Stephen P. Zeldes Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",2699,Stephen P. Zeldes
834,"Lance Lochner Department of Economics, University of Western Ontario, London, Canada",2698,Lance Lochner
835,"John C. Quiggin Risk and Sustainable Management Group (RSMG), School of Economics, University of Queensland, Brisbane, Australia",2696,John C. Quiggin
835,"Harold Linh Cole Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2696,Harold Linh
837,"Andre Jean-Louis de Palma Département d'Économie et de Gestion, École Normale Supérieure Paris-Saclay (ENS), Cachan, FranceDépartement d'Économie, École Polytechnique, Palaiseau, France",2693,Andre Jean-Louis
838,"Luc Anselin GeoDa Center for Geospatial Analysis and Computation, Arizona State University, Tempe, Arizona (USA)",2692,Luc Anselin
838,"Shawkat Hammoudeh School of Economics, LeBow College of Business, Drexel University, Philadelphia, Pennsylvania (USA)",2692,Shawkat Hammoudeh
840,"Antoinette Schoar Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",2690,Antoinette Schoar
841,"Jonathan Morduch Wagner Graduate School of Public Service, New York University (NYU), New York City, New York (USA)",2688,Jonathan Morduch
842,"Edmund S. Phelps Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",2675,Edmund S. Phelps
843,"Emmanuel Farhi Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",2670,Emmanuel Farhi
844,"David H. Papell Department of Economics, University of Houston, Houston, Texas (USA)",2667,David H. Papell
845,"Philip Oreopoulos Department of Economics, University of Toronto, Toronto, Canada",2666,Philip Oreopoulos
846,"Andrew Patton Department of Economics, Duke University, Durham, North Carolina (USA)",2664,Andrew Patton
847,"Carl Walsh Economics Department, University of California-Santa Cruz (UCSC), Santa Cruz, California (USA)",2660,Carl Walsh
848,"Tayfun Sonmez Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",2659,Tayfun Sonmez
849,"William Kerr Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",2658,William Kerr
850,Herbert A. Simon †,2657,Herbert A. Simon
851,Mark Joseph Bils,2655,Mark Joseph
852,John Enrico DiNardo †,2653,John Enrico
853,"Esteban Rossi-Hansberg Department of Economics, Princeton University, Princeton, New Jersey (USA)",2649,Esteban Rossi-Hansberg
854,S. Rao Aiyagari †,2646,S. Rao Aiyagari
855,"Michael Darby Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2641,Michael Darby
856,"Richard E. Just Department of Agricultural and Resource Economics, University of Maryland, College Park, Maryland (USA)",2637,Richard E. Just
857,"Robert J. Aumann Center for the Study of Rationality, Hebrew University of Jerusalem, Jerusalem, Israel",2636,Robert J. Aumann
858,"Guglielmo Maria Caporale Department of Economics and Finance, Brunel University, Uxbridge, United Kingdom",2635,Guglielmo Maria
859,"Antonio Afonso Unidade de Estudos sobre Complexidade e Economia (UECE), Research in Economics and Mathematics (REM), Instituto Superior de Economia e Gestão (ISEG), Universidade de Lisboa, Lisboa, Portugal",2630,Antonio Afonso
860,"Neil Wallace Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",2628,Neil Wallace
861,"Harold Alderman International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",2626,Harold Alderman
862,"Martin F. Hellwig Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern, Max-Planck-Gesellschaft, Bonn, Germany",2625,Martin F. Hellwig
863,"Gunter Coenen European Central Bank, Frankfurt am Main, Germany",2624,Gunter Coenen
864,"Philippe Bacchetta Départment d'économétrie et d'économie politique (DEEP), Faculté des Hautes Études Commerciales (HEC), Université de Lausanne, Lausanne, SwitzerlandSwiss Finance Institute, Genève/Zürich, Switzerland",2623,Philippe Bacchetta
865,"Keith E. Maskus Department of Economics, University of Colorado, Boulder, Colorado (USA)",2620,Keith E. Maskus
866,"Takeo Hoshi Faculty of Economics, University of Tokyo, Tokyo, Japan",2619,Takeo Hoshi
867,"Richard J. Murnane National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",2617,Richard J. Murnane
868,"Gert Peersman Faculteit Economie en Bedrijfskunde, Universiteit Gent, Gent, Belgium",2615,Gert Peersman
869,"Jeffrey B. Liebman Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",2609,Jeffrey B. Liebman
870,"Stuart S. Rosenthal Department of Economics, Maxwell School, Syracuse University, Syracuse, New York (USA)",2607,Stuart S. Rosenthal
870,"Eliana La Ferrara Centre for Economic Policy Research (CEPR), London, United Kingdom",2607,Eliana La
870,"Eric Albert Strobl Department Volkswirtschaftlehre, Universität Bern, Bern, Switzerland",2607,Eric Albert
870,"John Fernald Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)Economic and Political Sciences Area, INSEAD, Fontainebleau, France",2607,John Fernald
874,"Richard T. Carson Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",2606,Richard T. Carson
875,Paul A. Geroski †,2602,Paul A. Geroski
875,"Jinyong Hahn Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2602,Jinyong Hahn
877,"Anindya Banerjee Department of Economics, University of Birmingham, Birmingham, United Kingdom",2599,Anindya Banerjee
877,"T. Paul Schultz Economic Growth Center, Economics Department, Yale University, New Haven, Connecticut (USA)",2599,T. Paul Schultz
879,"Anat Ruth Admati Graduate School of Business, Stanford University, Stanford, California (USA)",2596,Anat Ruth
880,"John H. Kagel Department of Economics, Ohio State University, Columbus, Ohio (USA)",2595,John H. Kagel
881,"William C. Strange Rotman School of Management, University of Toronto, Toronto, Canada",2594,William C. Strange
882,"Robert Jack MacCulloch Business School, University of Auckland, Auckland, New ZealandMotu: Economic & Public Policy Research, Wellington, New Zealand",2592,Robert Jack
883,"Louis Putterman Economics Department, Brown University, Providence, Rhode Island (USA)",2587,Louis Putterman
884,"Muriel Niederle Department of Economics, Stanford University, Stanford, California (USA)",2582,Muriel Niederle
885,"Hugo A. Hopenhayn Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2578,Hugo A. Hopenhayn
885,"Walter Enders Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-Tuscaloosa, Tuscaloosa, Alabama (USA)",2578,Walter Enders
887,"Arturo Estrella Department of Economics, Rensselaer Polytechnic Institute, Troy, New York (USA)",2577,Arturo Estrella
888,"Paolo A. Pesenti Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",2576,Paolo A. Pesenti
889,"Monika Piazzesi Department of Economics, Stanford University, Stanford, California (USA)",2574,Monika Piazzesi
890,"Mary Amiti Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",2573,Mary Amiti
891,"V. Kerry Smith Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",2572,V. Kerry Smith
892,"Wolfgang Karl Hardle Institut für Statistik und Ökonometrie (ISÖ), Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, GermanyCenter for Applied Statistics and Econometrics (CASE), Humboldt-Universität Berlin, Berlin, Germany",2569,Wolfgang Karl
893,"Chien-Chiang Lee School of Economics and Management, Nanchang University, Nanchang, China",2566,Chien-Chiang Lee
893,"Pierre-Philippe Combes Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne), Université de Lyon, Lyon, FranceDepartment of Economics, Sciences économiques, Sciences Po, Paris, France",2566,Pierre-Philippe Combes
895,"Asher Wolinsky Department of Economics, Northwestern University, Evanston, Illinois (USA)",2558,Asher Wolinsky
896,"Stanley E. Zin National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",2557,Stanley E. Zin
897,"Isaac Ehrlich Department of Economics, State University of New York-Buffalo (SUNY), Buffalo, New York (USA)",2555,Isaac Ehrlich
897,"Silvana Tenreyro Economics Department, London School of Economics (LSE), London, United KingdomMonetary Policy Committee (MPC), Bank of England, London, United Kingdom",2555,Silvana Tenreyro
899,"Volker Wieland Fachbereich Wirtschaftswissenschaft, Goethe Universität Frankfurt am Main, Frankfurt am Main, Germany",2553,Volker Wieland
899,"Paul J. Devereux School of Economics, University College Dublin, Dublin, Ireland",2553,Paul J. Devereux
901,"Elisabet Rutstrom J. Mack Robinson College of Business, Georgia State University, Atlanta, Georgia (USA)",2551,Elisabet Rutstrom J.
902,"Timothy Cogley Department of Economics, New York University (NYU), New York City, New York (USA)",2549,Timothy Cogley
903,"Arnoud Boot Finance Group, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",2547,Arnoud Boot
903,"Roger Koenker Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",2547,Roger Koenker
905,"Susan Carleton Athey Graduate School of Business, Stanford University, Stanford, California (USA)",2545,Susan Carleton
906,"George Psacharopoulos CESifo, München, Germany",2538,George Psacharopoulos
907,"Asger Lunde Center for Research in Econometric Analysis of Time Series (CREATES), Institut for Økonomi, Aarhus Universitet, Aarhus, Denmark",2537,Asger Lunde
908,"Fabrizio Perri Research Department, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (USA)",2535,Fabrizio Perri
909,"Thomas F. Cooley Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",2533,Thomas F. Cooley
910,"Kjetil Storesletten Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",2528,Kjetil Storesletten
911,"Don Fullerton National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)Department of Finance, College of Business, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",2526,Don Fullerton
912,"Kristin Forbes Monetary Policy Committee (MPC), Bank of England, London, United KingdomSloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",2522,Kristin Forbes
913,"Brigitte C. Madrian Marriott School of Business, Brigham Young University, Provo, Utah (USA)",2521,Brigitte C. Madrian
914,"Vincenzo Quadrini Department of Finance and Business Economics, Marshall School of Business, University of Southern California, Los Angeles, California (USA)",2520,Vincenzo Quadrini
915,"Finn Tarp Development Economics Research Group - DERG, Økonomisk Institut, Københavns Universitet, København, Denmark",2517,Finn Tarp
915,"Eric Rosengren Federal Reserve Bank of Boston, Boston, Massachusetts (USA)",2517,Eric Rosengren
917,"Massimo Marinacci Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, ItalyDipartimento di Scienze delle Decisioni, Università Commerciale Luigi Bocconi, Milano, Italy",2516,Massimo Marinacci
918,"Stephen Leybourne School of Economics, University of Nottingham, Nottingham, United Kingdom",2514,Stephen Leybourne
919,Mark E. Doms,2512,Mark E. Doms
920,Franco Modigliani †,2509,Franco Modigliani
921,"Chang-Jin Kim Department of Economics, Korea University, Seoul, South KoreaDepartment of Economics, University of Washington, Seattle, Washington (USA)",2505,Chang-Jin Kim
922,"Franco Malerba Knowledge, Internationalization and Technology Studies (KITeS/CESPRI), Università Commerciale Luigi Bocconi, Milano, Italy",2500,Franco Malerba
922,"Dirk Krueger Penn Institute for Economic Research, Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",2500,Dirk Krueger
924,"Xiaobo Zhang China Center for Economic Research (CCER), Peking University, Beijing, ChinaInternational Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",2499,Xiaobo Zhang
924,"Dick van Dijk Econometrisch Instituut, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",2499,Dick van
926,"Helmut Lutkepohl DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",2497,Helmut Lutkepohl
927,"Kai A. Konrad Max-Planck-Institut für Steuerrecht und öffentliche Finanzen, Max-Planck-Gesellschaft, München, Germany",2494,Kai A. Konrad
928,"Michael R. Baye Department of Business Economics and Public Policy, Kelley School of Business, Indiana University, Bloomington, Indiana (USA)",2488,Michael R. Baye
929,"Fabio Schiantarelli Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",2487,Fabio Schiantarelli
929,"Caroline Hoxby Department of Economics, Stanford University, Stanford, California (USA)",2487,Caroline Hoxby
931,"Brian M. Lucey School of Business, Trinity College Dublin, Dublin, Ireland",2486,Brian M. Lucey
931,"Daniel Trefler Business Economics, Rotman School of Management, University of Toronto, Toronto, Canada",2486,Daniel Trefler
933,"Duc Khuong Nguyen Institut de Préparation à l'Administration et à la Gestion (IPAG), Paris, France",2484,Duc Khuong
934,"Robin W. Boadway Economics Department, Queen's University, Kingston, Canada",2480,Robin W. Boadway
935,Reinhard Selten †,2476,Reinhard Selten
936,"Giorgio E. Primiceri Department of Economics, Northwestern University, Evanston, Illinois (USA)",2470,Giorgio E. Primiceri
937,"Jan Ernst Fagerberg Senter for teknologi, innovasjon og kultur (TIK), Universitetet i Oslo, Oslo, Norway",2468,Jan Ernst
938,"Charles Milton Kahn Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",2466,Charles Milton
939,"Ugur Soytas İktisadi ve İdari Bilimler Fakültesi, Orta Doğu Teknik Üniversitesi, Ankara, Turkeyİşletme Bölümü, İktisadi ve İdari Bilimler Fakültesi, Orta Doğu Teknik Üniversitesi, Ankara, Turkey",2461,Ugur Soytas
940,"Bart Verspagen United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, Netherlands",2460,Bart Verspagen
941,"Dan A. Black Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",2452,Dan A. Black
942,"Andrew Granger Atkeson Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2451,Andrew Granger
943,"Omer Moav Department of Economics, University of Warwick, Coventry, United Kingdom",2445,Omer Moav
944,"Imran Rasul Department of Economics, University College London (UCL), London, United Kingdom",2440,Imran Rasul
945,"Carlo Favero Dipartimento di Finanza, Università Commerciale Luigi Bocconi, Milano, Italy",2436,Carlo Favero
946,"David A. Peel Department of Economics, Management School, Lancaster University, Lancaster, United Kingdom",2428,David A. Peel
947,"Xavier Freixas Centre de Recerca en Economia Financera i Comptabilitat (CREFC), Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, SpainCentre for Economic Policy Research (CEPR), London, United Kingdom",2427,Xavier Freixas
947,"Riccardo Scarpa Department of Economics, Waikato Management School, University of Waikato, Hamilton, New ZealandDipartimento di Economia Aziendale, Università degli Studi di Verona, Verona, Italy",2427,Riccardo Scarpa
